id,title,category,media_type,format,publisher,date,source_url,asset_url,http_status,content_type,size_bytes,authenticity,graphic,presentation_use,rights_and_handling,notes,last_checked
DOC-001,"State of Karnataka v. Sri Darshan, Supreme Court judgment",A-primary judicial record,court judgment,HTML full-text mirror,Supreme Court of India / Indian Kanoon mirror,14-08-2025,https://indiankanoon.org/doc/144636225/,https://indiankanoon.org/doc/144636225/,200,text/html,,Primary judicial text; mirror is not a certified copy,no,"Core source for prosecution allegations, defence arguments, evidence summary, and bail cancellation",Link and cite; obtain a certified copy for legal use,2025 INSC 979; Criminal Appeal Nos. 3528-3534/2025,27-08-2026
DOC-002,"Sri Darshan v. State of Karnataka, common bail order",A-primary judicial record,court judgment,HTML full-text mirror,Karnataka High Court / Indian Kanoon mirror,13-12-2024,https://indiankanoon.org/doc/166811973/,https://indiankanoon.org/doc/166811973/,200,text/html,,Primary judicial text; mirror is not a certified copy,no,Use for defence contentions and December 2024 bail history,Link and cite; obtain a certified copy for legal use,NC:2024:KHC:51482; later set aside for seven accused by the Supreme Court,27-08-2026
DOC-003,State of Karnataka v. Puttaswamy alias Pavan K. and Raghavendra N.,A-primary judicial record,court judgment,HTML full-text mirror,Karnataka High Court / Indian Kanoon mirror,10-06-2026,https://indiankanoon.org/doc/123404998/,https://indiankanoon.org/doc/123404998/,200,text/html,,Primary judicial text; mirror is not a certified copy,no,Use for A3/A4 alleged roles and latest verified bail status,Link and cite; obtain a certified copy for legal use,NC:2026:KHC:30009; State cancellation petition rejected,27-08-2026
DOC-004,State of Karnataka v. Nandeesh,A-primary judicial record,court judgment,HTML full-text mirror,Karnataka High Court / Indian Kanoon mirror,10-06-2026,https://indiankanoon.org/doc/107386353/,https://indiankanoon.org/doc/107386353/,200,text/html,,Primary judicial text; mirror is not a certified copy,no,Use for A5 alleged role and latest verified bail status,Link and cite; obtain a certified copy for legal use,NC:2026:KHC:30010; State cancellation petition rejected,27-08-2026
DOC-005,State of Karnataka v. Pavitra Gowda and others,A-primary judicial record,court order,HTML full-text mirror,Karnataka High Court / Indian Kanoon mirror,18-08-2026,https://indiankanoon.org/doc/55625249/,https://indiankanoon.org/doc/55625249/,200,text/html,,Primary judicial text; mirror is not a certified copy,no,Latest verified trial-status source; full 17-accused list and PW-1 procedure,Link and cite; obtain a certified copy for legal use,Criminal Petition No. 6820/2026; trial remained pending,27-08-2026
VID-001,Toll-plaza CCTV extract said to show the Etios used to transport Renukaswamy,C-media-published evidence extract,video,MP4,India Today,14-06-2024,https://www.indiatoday.in/india/story/darshan-arrest-case-cctv-footage-chitradurga-toll-plaza-car-ferries-renukaswamy-before-murder-2553173-2024-06-14,https://video-indiatoday.tosshub.com/indiatoday/video/embed/2024_06/14_jun_24_in240614_00fo_1718354918666c03e6b2fc8_512.mp4,200,video/mp4,13014289,Publisher-hosted compressed/edited copy; not police CCTV master and not independently authenticated,no,Suitable only with an on-screen label: media-published CCTV extract / prosecution attribution,Copyright India Today; link or license before redistribution,Only directly accessible public video located; preserve source URL and date,27-08-2026
VID-002,Alternative stream for toll-plaza CCTV extract,C-media-published evidence extract,video stream,HLS/M3U8,India Today,14-06-2024,https://www.indiatoday.in/india/story/darshan-arrest-case-cctv-footage-chitradurga-toll-plaza-car-ferries-renukaswamy-before-murder-2553173-2024-06-14,https://video-indiatoday.tosshub.com/indiatoday/video/embed/2024_06/14_jun_24_in240614_00fo_1718354918666c03e6b2fc8/14_jun_24_in240614_00fo_1718354918666c03e6b2fc8.m3u8,200,application/vnd.apple.mpegurl,795,Publisher-hosted adaptive stream; not police CCTV master,no,Use only if the MP4 is unavailable,Copyright India Today; link or license before redistribution,"Same editorial clip as VID-001, not separate evidence",27-08-2026
IMG-001,Poster frame for toll-plaza CCTV report,C-media-published evidence extract,image,JPEG,India Today,14-06-2024,https://www.indiatoday.in/india/story/darshan-arrest-case-cctv-footage-chitradurga-toll-plaza-car-ferries-renukaswamy-before-murder-2553173-2024-06-14,https://akm-img-a-in.tosshub.com/indiatoday/video/thumbnails/14_jun_24_in240614_00fo_1718354918666c03e6b2fc8_poster_1.jpg,200,image/jpeg,42311,Publisher-generated video thumbnail; not an original CCTV frame export,no,Suitable as a labelled thumbnail for VID-001,Copyright India Today; link or license before redistribution,Do not describe as a forensic still,27-08-2026
IMG-002,Darshan arrest article lead image,B-publisher editorial media,image,JPEG,India Today,14-06-2024,https://www.indiatoday.in/india/story/darshan-arrest-case-cctv-footage-chitradurga-toll-plaza-car-ferries-renukaswamy-before-murder-2553173-2024-06-14,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202406/kannada-actor-darshan-arrested-in-murder-case-144126609-16x9_0.jpg?VersionId=01O7F6sC6AsjXctlSv525g4c_wecNqlZ,200,image/jpeg,123308,Publisher rendition of an editorial photograph,no,Context slide only; not case evidence,Copyright India Today; link or license before redistribution,Keep article caption and credit when used,27-08-2026
IMG-003,BBC article lead image of Darshan,B-publisher editorial media,image,JPEG,BBC News,22-06-2024,https://www.bbc.com/news/articles/cqvvx9z4xedo,https://ichef.bbci.co.uk/news/1024/cpsprodpb/0ea2/live/df388620-2f99-11ef-9552-ddad3d31dcba.jpg,200,image/jpeg,,BBC 1024-pixel editorial rendition; not original camera file,no,Context/profile slide only; not case evidence,Copyright BBC/credited photographer; link or license before redistribution,Article caption identifies Darshan and his public profile,27-08-2026
